Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
80309;Boulder;CO;40.087835;-105.373507;-7;1;40.087835,-105.373507
80807;Burlington;CO;39.3124;-102.25094;-7;1;39.3124,-102.25094
81076;Sugar City;CO;38.26144;-103.67101;-7;1;38.26144,-103.67101
80525;Fort Collins;CO;40.532354;-105.0535;-7;1;40.532354,-105.0535
80610;Ault;CO;40.61798;-104.66762;-7;1;40.61798,-104.66762
80934;Colorado Springs;CO;38.82469;-104.562027;-7;1;38.82469,-104.562027
80121;Littleton;CO;39.607386;-104.95805;-7;1;39.607386,-104.95805
80915;Colorado Springs;CO;38.858644;-104.70892;-7;1;38.858644,-104.70892
80293;Denver;CO;39.746286;-104.99008;-7;1;39.746286,-104.99008
81154;South Fork;CO;37.671046;-106.63177;-7;1;37.671046,-106.63177
80248;Denver;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80449;Hartsel;CO;38.993175;-105.79916;-7;1;38.993175,-105.79916
81077;Swink;CO;38.015189;-103.62827;-7;1;38.015189,-103.62827
80932;Colorado Springs;CO;38.82469;-104.562027;-7;1;38.82469,-104.562027
81328;Mancos;CO;37.363564;-108.29691;-7;1;37.363564,-108.29691
80457;Kittredge;CO;39.653899;-105.30102;-7;1;39.653899,-105.30102
81044;Hasty;CO;38.039941;-102.94569;-7;1;38.039941,-102.94569
80515;Drake;CO;40.412496;-105.41818;-7;1;40.412496,-105.41818
80478;Tabernash;CO;40.00167;-105.8686;-7;1;40.00167,-105.8686
80403;Golden;CO;39.827903;-105.32256;-7;1;39.827903,-105.32256
81611;Aspen;CO;39.196857;-106.8191;-7;1;39.196857,-106.8191
80840;U S A F Academy;CO;39.008109;-104.84248;-7;1;39.008109,-104.84248
81138;Jaroso;CO;37.197731;-105.429395;-7;1;37.197731,-105.429395
80299;Denver;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
81084;Two Buttes;CO;37.567773;-102.39192;-7;1;37.567773,-102.39192
80206;Denver;CO;39.731237;-104.95243;-7;1;39.731237,-104.95243
81042;Gulnare;CO;37.315263;-104.73461;-7;1;37.315263,-104.73461
81149;Saguache;CO;38.120209;-106.22626;-7;1;38.120209,-106.22626
80016;Aurora;CO;39.595115;-104.7485;-7;1;39.595115,-104.7485
80328;Boulder;CO;40.087835;-105.373507;-7;1;40.087835,-105.373507
80442;Fraser;CO;39.949217;-105.83438;-7;1;39.949217,-105.83438
81226;Florence;CO;38.387091;-105.1226;-7;1;38.387091,-105.1226
81419;Hotchkiss;CO;38.819199;-107.73704;-7;1;38.819199,-107.73704
80941;Colorado Springs;CO;38.82469;-104.562027;-7;1;38.82469,-104.562027
80004;Arvada;CO;39.81431;-105.12263;-7;1;39.81431,-105.12263
80947;Colorado Springs;CO;38.82469;-104.562027;-7;1;38.82469,-104.562027
80944;Colorado Springs;CO;38.82469;-104.562027;-7;1;38.82469,-104.562027
